type produit;numero AMM;nom produit;Composition;Revendication;Dénomination de classe;
MFSC;1160079;FERTILEADER VITI;;;Matière fertilisante;
MFSC;1190630;VG PROTEC;Trichoderma harzianum souche B97 (Min: 1000000.0 UFC/g, Max: 1000000.0 UFC/g)  | Maltodextrine (Min: 99.6 %, Max: 99.6 %)  | Bacillus methylotrophicus souche B25 (Min: 100000000 UFC/g, Max: 100000000 UFC/g) ;;Préparation bactérienne;
MFSC;1180192;MICROMIX;Pseudomonas fluorescens (Min: 50000000 UFC/g, Max: 50000000 UFC/g)  | Maltodextrine (Min: 98.0 % MB, Max: 98.0 % MB)  | Pseudomonas fulva (Min: 50000000 UFC/g, Max: 50000000 UFC/g) ;;Préparation bactérienne;
MFSC;1190422;BASFOLIAR PLANTAE BIO;Matière sèche (Min: 57.0 %, Max: 57.0 %)  | Azote (N) total (Min: 1.5 %, Max: 1.5 %)  | Azote organique (Min: 1.5 %, Max: 1.5 %)  | Oxyde de potassium total (K2O) soluble dans l'eau (Min: 6.0 %, Max: 6.0 %)  | Carbone organique (C) (Min: 10.0 %, Max: 10.0 %)  | Glycine bétaïne (Min: 5.0 %, Max: 5.0 %)  | pH (Min: 7.2 , Max: 7.2 ) ;;Matière fertilisante;
MFSC;1180056;LALVIGNE AROMA;Matière sèche (Min: 93.5 % MB, Max: 93.5 % MB)  | Acides aminés totaux libres (Min: 33.0 % MB, Max: 33.0 % MB)  | pH (Min: 6.2 , Max: 6.2 ) ;;Matière fertilisante;
MFSC;1150013;FLORANID NATUR;;;Engrais organo-minéraux;
MFSC;1170078;TRIFENDER WP;;;;
MFSC;1200439;APPETIZER;Filtrat d'algue Ascophyllum nodosum (GA 142) (Min: 93.0 %, Max: 93.0 %)  | Manganèse (Mn) soluble dans l'eau (Min: 1.0 %, Max: 1.0 %)  | Zinc (Zn) soluble dans l'eau (Min: 1.0 %, Max: 1.0 %)  | pH (Min: 2.5 , Max: 2.5 ) ;Mannitol (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1180641;MO NUTRITION;Matière sèche (Min: 96.0 %, Max: 96.0 %)  | Matières organiques (Min: 25.0 %, Max: 25.0 %)  | Azote total (Min: 5.0 %, Max: 5.0 %)  | Anhydride phosphorique (Min: 5.0 %, Max: 5.0 %)  | Oxyde de potassium (K2O)  (Min: 20.0 %, Max: 20.0 %)  | Oxyde de magnésium (MgO) (Min: 3.0 %, Max: 3.0 %) ;;Matière fertilisante;
MFSC;1171278;MICROCAT MIX;Oxyde de magnésium (Min: 2.0 %, Max: 2.0 %)  | Fer (Fe) total (Min: 3.2 %, Max: 3.2 %)  | Zinc (Zn) (Min: 1.2 %, Max: 1.2 %)  | Manganèse (Mn) total (Min: 0.8 %, Max: 0.8 %)  | Bore (B) total (Min: 0.2 %, Max: 0.2 %)  | Acides aminés totaux libres (Min: 2.0 %, Max: 2.0 %)  | Azote total (Min: 3.0 %, Max: 3.0 %)  | Azote organique (Min: 0.7 %, Max: 0.7 %)  | Azote nitrique (Min: 2.3 %, Max: 2.3 %)  | pH (Min: 2.5 , Max: 2.5 ) ;;Matière fertilisante;
MFSC;1200253;ECOFERT;Matière sèche (Min: 7.6 %, Max: 7.6 %)  | Carbone organique (C) (Min: 0.2 %, Max: 0.2 %)  | Mannitol (Min: 0.7 %, Max: 0.7 %)  | Manganèse (Mn) (Min: 1.0 %, Max: 1.0 %)  | Zinc (Zn) (Min: 1.0 %, Max: 1.0 %)  | Filtrat d'algue Ascophyllum nodosum (GA 142) (Min: 50.0 %, Max: 50.0 %)  | pH (Min: 2.5 , Max: 2.5 ) ;;Matière fertilisante;
MFSC;1000030;E4CDX2;;;Matière fertilisante;
MFSC;1150012;AGROSIL LR2;;;Matière fertilisante;
MFSC;1210399;BM START;Matière sèche  (Min: 41.0 %, Max: 41.0 %)  | Soufre (SO3) total (Min: 7.1 %, Max: 7.1 %)  | BORE (B) TOTAL (Min: 2.0 %, Max: 2.0 %)  | Molybdène (Mo) total (Min: 0.02 %, Max: 0.02 %)  | Oxyde de magnésium  (MgO) total (Min: 3.5 %, Max: 3.5 %)  | Filtrat d'algue Ascophyllum nodosum (GA 142) (Min: 30.0 %, Max: 30.0 %)  | PH (Min: 7.5 , Max: 7.5 ) ;Azote (N) total (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1190797;DYONIFER;pH (Min: 7.0 , Max: 7.0 )  | Matière sèche (Min: 34.2 %, Max: 34.2 %)  | Fer (Fe) Chélaté EDTA (Min: 4.3 %, Max: 4.3 %)  | Carbone organique (C) total (Min: 10.0 %, Max: 10.0 %) ;Mannitol (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1200091;OREADE;Matière sèche (Min: 47.5 %, Max: 47.5 %)  | Bore (B) (Min: 8.3 %, Max: 8.3 %)  | Molybdène (Mo) (Min: 0.52 %, Max: 0.52 %)  | Filtrat d'algue Ascophyllum nodosum (GA 142) (Min: 15.0 %, Max: 15.0 %)  | pH (Min: 7.6 , Max: 7.6 ) ;Mannitol (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1190169;LRPP;Azote organique (Min: 5.0 %, Max: 5.0 %)  | Acides aminés et peptides totaux (Min: 30.0 %, Max: 30.0 %)  | Azote total (Min: 5.0 %, Max: 5.0 %)  | Matière sèche (Min: 49.0 %, Max: 49.0 %)  | pH (Min: 4.0 , Max: 4.0 ) ;;Matière fertilisante | Matière fertilisante;
MFSC;1180618;SVL-213;Matière sèche (Min: 51.4 % MB, Max: 51.4 % MB)  | Acide g-aminobutyrique (ou GABA) (Min: 1.1 % MB, Max: 1.1 % MB)  | Acide glutamique (Min: 1.3 % MB, Max: 1.3 % MB)  | Sucres solubles (Min: 13.0 % MB, Max: 13.0 % MB)  | pH (Min: 2.5 , Max: 2.5 ) ;Bore (Min:  , Max:  )  | Fer (Min:  , Max:  )  | Molybdène (Min:  , Max:  )  | Manganèse (Min:  , Max:  )  | Zinc (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1190087;PHYSALG 15-10;Anhydride phosphorique (P2O5) soluble dans les acides minéraux (Min: 15.0 %, Max: 15.0 %)  | Oxyde de potassium total (K2O) soluble dans l'eau (Min: 10.0 %, Max: 10.0 %)  | Oxyde de calcium (CaO) total (Min: 34.0 %, Max: 34.0 %)  | Valeur neutralisante (Min: 22.0 , Max: 22.0 )  | pH (Min: 8.5 , Max: 8.5 ) ;Carbone organique total (Min:  , Max:  )  | Mannitol (Min:  , Max:  )  | Glycine bétaïne (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1100006;AMU LITIERE&SOL;;;Matière fertilisante;
MFSC;9810025;ALLEVIATE;; Tension superficielle (Min: 23.0 mN/m, Max: 23.0 mN/m) ;Conditionneur de sol;
MFSC;1140014;NUTRIX;Trichoderma harzianum souche CNCM I-4013 (Min: 0.05 kg/100 kg MB, Max: 0.05 kg/100 kg MB)  | Pseudomonas fluorescens souche B177 (Min: 19.95 kg/100 kg MB, Max: 19.95 kg/100 kg MB)  | Maltodextrine (Min: 80.0 kg/100 kg MB, Max: 80.0 kg/100 kg MB) ;Teneur en bactérie (en 10^8) (Min: 1.0 UFC/g, Max: 1.0 UFC/g) ;Matière fertilisante;
MFSC;6200953;AGRITAN C PLUS;Matière sèche (Min: 50.0 %, Max: 50.0 %)  | Matière organique (Min: 47.0 %, Max: 53.0 %)  | Tanin de Châtaignier CAS 84695-99-8 (Min: 34.0 %, Max: 34.0 %)  | Oxyde de potassium (K2O) total (Min: 1.9 %, Max: 2.3 %)  | pH (Min: 3.0 , Max: 3.0 ) ;;Matière fertilisante;
MFSC;1170710;GREPC1;Matière sèche (Min: 93.0 % MB, Max: 93.0 % MB)  | P2O5 total (Min: 17.0 % MB, Max: 17.0 % MB)  | P2O5 soluble eau (Min: 16.5 % MB, Max: 16.5 % MB)  | SO3 soluble eau (Min: 31.0 % MB, Max: 31.0 % MB) ;;Matière fertilisante;
MFSC;6150003;HYDROCHAR WB1;Matière sèche (Min: 80.0 % m / m, Max: 90.0 % m / m)  | Charbon végétal (Min: 80.0 % m / m, Max: 90.0 % m / m)  | Carbone organique (C) (Min: 64.0 % m / m, Max: 74.0 % m / m)  | Capacité de rentention pour l'eau (Min: 85.0 % v / v, Max: 85.0 % v / v)  | Granulométrie (Min: 0.125 mm, Max: 4.0 mm) ;;Rétenteur d'eau;
MFSC;1200964;GREENFLOW;Lactobacillus rhamnosus et farciminis (Min: 1000000000 UFC/kg, Max: 1000000000 UFC/kg) ;;Stimulateur de croissance des plantes;
MFSC;6210484;VITALBLUE HIZABLEND;Matière sèche  (Min: 38.2 %, Max: 38.2 %)  | Azote (N) total  (Min: 3.5 %, Max: 3.9 %)  | Azote (N) organique  (Min: 3.5 %, Max: 3.9 %)  | Acides aminés libres (Min: 21.0 %, Max: 23.1 %) ;pH (Min:  , Max:  )  | Aminogramme (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1180062;PHYLGREEN;Acide alginique (Min: 2.0 %, Max: 2.0 %)  | Mannitol (Min: 1.2 %, Max: 1.2 %)  | pH (Min: 4.5 , Max: 4.5 ) ;;Additif agronomique | Matière fertilisante;
MFSC;1210483;LABIN ECO CALCIO;Matière sèche  (Min: 22.3 %, Max: 22.3 %)  | Oxyde de calcium (CaO) soluble dans l'eau (Min: 8.0 %, Max: 8.0 %)  | PH (Min: 5.5 , Max: 5.5 )  | DENSITE (Min: 1.13 %, Max: 1.13 %) ;;Matière fertilisante;
MFSC;1200544;VITALIANZ R LUPIN;Bradyrhizobium lupini souche LL13 (Min: 1.109 UFC/g, Max: 1.109 UFC/g) ;;Préparation bactérienne;
MFSC;1180249;VITALIANZ R LUZERNE;;;Préparation bactérienne;
MFSC;1210900;NOVIHUM ARGIL;Matière sèche (Min: 79.2 %, Max: 79.2 %)  | Matière organique (Min: 62.0 %, Max: 62.0 %)  | Azote (N) total (Min: 3.7 %, Max: 3.7 %)  | dont Azote (N) ammoniacale (Min: 1.2 %, Max: 1.2 %)  | Carbone des substances humiques (Min: 8.7 %, Max: 8.7 %)  | Carbone des acides fulviques (Min: 1.4 %, Max: 1.4 %)  | Carbone des acides humidiques (Min: 7.2 %, Max: 7.2 %) ;;Matière fertilisante;
MFSC;1220192;TRADIPHOSCAL;Matière sèche  (Min: 66.6 %, Max: 66.6 %)  | Azote (N) total  (Min: 2.0 %, Max: 2.0 %)  | Anhydride phosphorique (P2O5) total (Min: 8.0 %, Max: 8.0 %)  | Oxyde de potassium (K2O) total (Min: 1.5 %, Max: 1.5 %) ;;Matière fertilisante;
MFSC;6221020;F.O.M.A.;Matière sèche (MS) (Min: 13.0 % MB, Max: 22.0 % MB)  | Matières organique (MO) (Min: 10.0 % MB, Max: 20.0 % MB)  | Azote total (N) (Min: 0.3 % MB, Max: 0.8 % MB)  | Azote organique (Min: 0.3 % MB, Max: 0.8 % MB)  | Anhydride phosphorique (P2O5) total  (Min: 0.2 % MB, Max: 0.6 % MB)  | Oxyde de potassium (K2O) total (Min: 0.3 % MB, Max: 0.8 % MB) ;pH (Min:  , Max:  )  | C/N (Min:  , Max:  ) ;Amendement organique;
MFSC;1170212;RIZOLIQ TOP S;Bradyrhizobium japonicum souche SEMIA 5079 (Min: 2000000000 UFC/g, Max: 2000000000 UFC/g)  | Bradyrhizobium  diazoefficiens SEMIA 5080 (Min: 2000000000 UFC/g, Max: 2000000000 UFC/g) ;;Matière fertilisante;
MFSC;1110010;BOGRINE;;;Amendement - Engrais;
MFSC;1220403;OG ORGANICS IGUANA JUICE GROW;Matière sèche (Min: 51.5 %, Max: 51.5 %)  | Azote (N) total  (Min: 3.0 %, Max: 3.0 %)  | Anhydride phosphorique (P2O5) soluble dans l'eau (Min: 1.0 %, Max: 1.0 %)  | Oxyde de potassium (K2O) soluble dans l'eau (Min: 3.0 %, Max: 3.0 %)  | Oxyde de calcium (CaO) soluble dans l'eau (Min: 0.7 %, Max: 0.7 %)  | Oxyde de magnésium (MgO) soluble dans l'eau (Min: 0.8 %, Max: 0.8 %)  | Anhydride sulfurique (SO3) soluble dans l'eau (Min: 6.2 %, Max: 6.2 %)  | Bore (B) soluble dans l'eau (Min: 0.01 %, Max: 0.01 %)  | Fer (Fe) soluble dans l'eau (Min: 0.05 %, Max: 0.05 %)  | Manganèse (Mn) soluble dans l'eau (Min: 0.03 %, Max: 0.03 %)  | Zinc (Zn) soluble dans l'eau (Min: 0.01 %, Max: 0.01 %)  | Cuivre (Cu) soluble dans l'eau (Min: 0.0029 %, Max: 0.0029 %)  | Acides aminés libres (Min: 2.14 %, Max: 2.14 %)  | Extrait de levure (Min: 1.56 %, Max: 1.56 %)  | pH (Min: 4.0 , Max: 4.0 ) ;Vitamine B1 (chlorhydrate de thiamine) (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1210404;ROOTSYM;Consortium mycorhizien (Min: 40.0 spores/g, Max: 40.0 spores/g) ;;Préparation fongique | Additif agronomique;
MFSC;1220406;PH PERFECT CONNOISSEUR GROW A;Oxyde de magnésium (MgO) soluble dans l'eau (Min: 1.5 %, Max: 1.5 %)  | Fer (Fe) soluble dans l'eau (Min: 0.05 %, Max: 0.05 %)  | dont fer (Fe) chélaté par DTPA, EDDHA et EDTA (Min: 0.04 %, Max: 0.04 %)  | Manganèse (Mn) soluble dans l'eau (Min: 0.05 %, Max: 0.05 %)  | dont manganèse (Mn) chélaté par EDTA (Min: 0.04 %, Max: 0.04 %)  | Acides humiques (Min: 3.5 %, Max: 3.5 %)  | pH (Min: 5.5 , Max: 5.5 )  | Matière sèche (Min: 27.5 %, Max: 27.5 %)  | Azote (N) total  (Min: 4.0 %, Max: 4.0 %)  | dont azote (N) nitrique (Min: 4.0 %, Max: 4.0 %)  | Oxyde de calcium (CaO) soluble dans l'eau (Min: 4.9 %, Max: 4.9 %) ;Zinc (Zn) soluble dans l'eau (Min:  , Max:  )  | dont Zinc (Zn) chélaté par EDTA (Min:  , Max:  )  | Cuivre (Cu) soluble dans l'eau (Min:  , Max:  )  | dont cuivre (Cu) chélaté par EDTA (Min:  , Max:  )  | Molybdène (Mo) (Min:  , Max:  )  | Bore (B) (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1210898;KUSHIE KUSH;Matière sèche (Min: 22.0 %, Max: 22.0 %)  | Azote (N) total  (Min: 1.0 %, Max: 1.0 %)  | dont azote (N) nitrique (Min: 1.0 , Max: 1.0 )  | Anhydre phosphorique (P2O5) soluble dans l'eau (Min: 3.0 , Max: 3.0 )  | Oxyde de potassium (K2O) soluble dans l'eau (Min: 8.0 , Max: 8.0 )  | Protéines hydrolysées issues de lactosérum (Min: 0.7 %, Max: 0.7 %)  | PH (Min: 4.5 , Max: 4.5 ) ;;Matière fertilisante;
MFSC;6220376;ZUMSIL PLUS;Matière sèche (Min: 52.0 %, Max: 52.0 %)  | pH (Min: 12.0 , Max: 12.0 )  | Oxyde de silicium amorphe (SiO2) (Min: 30.0 %, Max: 30.0 %) ;;Matière fertilisante;
MFSC;1210921;TALETE;Matière sèche  (Min: 43.9 %, Max: 43.9 %)  | Carbone (C) organique (Min: 7.5 %, Max: 7.5 %)  | Azote (N) total (Min: 5.0 %, Max: 5.0 %)  | dont Azote ureique (Min: 4.0 %, Max: 4.0 %)  | dont azote (N) organique (Min: 1.0 %, Max: 1.0 %)  | Oxyde de potassium (K2O) total soluble dans l'eau (Min: 6.0 %, Max: 6.0 %)  | Manganèse (Mn) chélaté EDTA soluble dans l'eau (Min: 0.2 %, Max: 0.2 %)  | Zinc (Zn) chélaté EDTA soluble dans l'eau (Min: 0.2 %, Max: 0.2 %)  | Extrait d'algues et extraits végétaux (Min: 76.0 %, Max: 76.0 %)  | PH (Min: 6.2 %, Max: 6.2 %) ;;Matière fertilisante;
MFSC;1210896;INICIUM;Matière sèche (Min: 53.4 %, Max: 53.4 %)  | Matière organique (Min: 40.0 %, Max: 40.0 %)  | Carbone organique (Min: 21.0 %, Max: 21.0 %)  | Azote (N) total  (Min: 5.5 %, Max: 5.5 %)  | dont Azote (N) organique (Min: 4.0 %, Max: 4.0 %)  | Anhydre phosphorique (P2O5) total (Min: 5.5 %, Max: 5.5 %)  | PH (Min: 4.25 , Max: 4.25 ) ;Acides aminés libres totaux d'origine animales (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1200286;PHYSIOLITH POUDRE;Oxyde de Calcium (CaO) total* (Min: 40.0 %, Max: 40.0 %)  | Oxyde de Magnésium (MgO) total* (Min: 1.0 %, Max: 1.0 %)  | Valeur neutralisante (Min: 41.0  , Max: 41.0  )  | Extrait d'algues et extrait végétaux (Min: 1.5 %, Max: 1.5 %) ;Granulométrie (Min:  , Max:  )  | pH 9 (Min:  , Max:  ) ;Matière fertilisante;
MFSC;6200945;AGROMI;Matières sèche (Min: 10.0 %, Max: 20.0 %)  | Matière Organique (Min: 5.0 %, Max: 9.0 %)  | Azote (N) total  (Min: 0.5 %, Max: 1.5 %)  | Anhydre phosphorique (P2O5) soluble dans un acide minéral (Min: 0.2 %, Max: 1.0 %)  | Oxyde de potassium (K2O) total (Min: 1.0 %, Max: 1.5 %)  | pH (Min: 8.0 , Max: 9.0 ) ;Azote (N) ammoniacal (Min:  , Max:  )  | Azote (N) organique (Min:  , Max:  )  | Cuivre (Cu) (Min:  , Max:  )  | Zinc (Zn) (Min:  , Max:  )  | C/N (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1210550;TEMIS;Funneliformis mosseae  IP09 (Min: 0.6 %, Max: 0.6 %)  | Rhizophagus intraradices  IP21 (Min: 0.6 %, Max: 0.6 %)  | Funneliformis geosporum  IP26 (Min: 0.6 %, Max: 0.6 %)  | Claroideoglomus claroideum  IP29 (Min: 0.6 %, Max: 0.6 %)  | Glomus sp.  IP36 (Min: 0.6 %, Max: 0.6 %) ;;Préparation fongique;
MFSC;1201110;MICROBACTER EVO;;;Matière fertilisante;
MFSC;1210624;SULFONITRATE D'AMMONIAQUE AVEC DCD SOLUBLE;Azote (N) total  (Min: 26.0 %, Max: 26.0 %)  | dont azote (N) ammoniacal (Min: 19.5 %, Max: 19.5 %)  | Azote nitrique (Min: 6.5 %, Max: 6.5 %)  | Anhydride sulfurique (SO3) total (Min: 37.0 %, Max: 37.0 %)  | dont anhydride sulfurique (SO3) soluble dans l'eau (Min: 37.0 %, Max: 37.0 %)  | Dicyandiamide (DCD) soluble (Min: 0.15 %, Max: 0.15 %) ;;Matière fertilisante;
MFSC;1180070;AGROSIL TURF ALGIN;Matière sèche (Min: 95.0 %, Max: 95.0 %)  | Matières organiques (Min: 63.0 %, Max: 63.0 %)  | Azote total (Min: 5.0 %, Max: 5.0 %)  | Azote ammoniacal (Min: 3.0 %, Max: 3.0 %)  | Azote organique (Min: 2.0 %, Max: 2.0 %)  | Anhydride phosphorique (Min: 2.0 %, Max: 2.0 %)  | Anhydride sulfurique (SO3) (Min: 20.0 %, Max: 20.0 %)  | Oxyde de magnésium (Min: 2.0 %, Max: 2.0 %)  | Fer (Fe) total (Min: 1.0 %, Max: 1.0 %)  | Manganèse (Mn) total (Min: 0.1 %, Max: 0.1 %)  | Carbone des acides humiques (Min: 9.5 %, Max: 9.5 %)  | Bacillus amyloliquefaciens subsp. plantarum R6CDX (Min: 780000.0 UFC/g, Max: 780000.0 UFC/g) ;;Matière fertilisante;
MFSC;1180320;RHIZO POWER ENSIFER MELILOTI G49;Sinorhizobium meliloti (Ensifer meliloti) souche G49 (Min: 10000000000 UFC/mL, Max: 10000000000 UFC/mL) ;;Matière fertilisante;
MFSC;1200154;PHYSIOLITH GRANULE B;Oxyde de calcium (CaO) total (Min: 36.0 %, Max: 36.0 %)  | Oxyde de magnésium (MgO) total (Min: 1.0 %, Max: 1.0 %)  | Extraits d'algues et extraits végétaux (Min: 1.5 %, Max: 1.5 %)  | Valeur neutralisante (Min: 37.0 , Max: 37.0 ) ;Granulométrie (Min:  , Max:  )  | pH (Min:  , Max:  ) ;Amendement minéral basique;
MFSC;1211087;NURSEED HC;Matière sèche (Min: 26.0 %, Max: 26.0 %)  | Oligomères d'acide hydroxycinnamique (Min: 0.58 %, Max: 0.58 %)  | COS (chito-oligosaccharides) (Min: 1.17 %, Max: 1.17 %)  | pH (Min: 5.0 %, Max: 5.0 %) ;;Matière fertilisante;
MFSC;1210507;OCIGO;Matière sèche (Min: 24.7 %, Max: 24.7 %)  | Azote (N) total (Min: 3.0 %, Max: 3.0 %)  | dont azote (N) ammoniacal (Min: 3.0 %, Max: 3.0 %)  | PH (Min: 3.6 , Max: 3.6 )  | Densité (Min: 1.1 , Max: 1.1 )  | Anhydride sulfurique (S03) total soluble dans l'eau  (Min: 4.0 %, Max: 4.0 %)  | Anhydride phosphorique (P2O5) total  (Min: 9.0 %, Max: 9.0 %)  | Anhydride phosphorique (P2O5) soluble dans l'eau (Min: 9.0 %, Max: 9.0 %)  | Anhydride sulfurique (SO3) soluble dans l'eau (Min: 4.0 %, Max: 4.0 %) ;;Matière fertilisante;
MFSC;1200868;FOL-STIM MN ZN LIQUIDE;Matières sèche (Min: 28.0 %, Max: 28.0 %)  | Matières organique (MO) (Min: 15.6 %, Max: 15.6 %)  | Zinc (Zn) soluble dans l'eau (Min: 1.6 %, Max: 1.6 %)  | Manganèse (Mn) soluble dans l'eau (Min: 1.6 %, Max: 1.6 %)  | Extraits d'algues (Min: 15.0 %, Max: 15.0 %)  | pH (Min: 5.5 , Max: 5.5 ) ;;Matière fertilisante;
MFSC;1210899;NOVIHUM DISPERSA;Matière sèche  (Min: 77.6 %, Max: 77.6 %)  | Matière organique  (Min: 70.0 %, Max: 70.0 %)  | Azote (N) total  (Min: 4.0 %, Max: 4.0 %)  | Azote ammoniacal (Min: 1.5 %, Max: 1.5 %)  | Carbone (C) des substances humiques (Min: 9.6 %, Max: 9.6 %)  | Carbone des acides fulviques (Min: 1.3 %, Max: 1.3 %)  | Carbone des acides humiques (Min: 8.3 %, Max: 8.3 %) ;;Matière fertilisante;
MFSC;1211016;JUNGLE JUICE GROW;Matière sèche  (Min: 24.0 %, Max: 24.0 %)  | Azote (N) total  (Min: 2.0 %, Max: 2.0 %)  | dont Azote (N) nitrique (Min: 1.75 %, Max: 1.75 %)  | Anhydride phosphorique (P2O5) soluble dans l'eau (Min: 1.0 %, Max: 1.0 %)  | Oxyde de potassium total (K2O) soluble dans l'eau (Min: 6.0 %, Max: 6.0 %)  | Oxyde de magnésium (MgO) soluble dans l'eau (Min: 0.8 %, Max: 0.8 %)  | pH (Min: 3.7 , Max: 3.7 ) ;;Matière fertilisante;
MFSC;1211009;MICRO-ORGANISMES RECOLTE MIRACLE;Bacillus Amyloliquefaciens souche ECO-B-01, Bacillus Pumilus souche ECO-B-02 (Min: 1.101 spores/mL, Max: 1.101 spores/mL) ;;Préparation bactérienne;
MFSC;1210736;VIGOR NK;Matière sèche  (Min: 62.0 %, Max: 62.0 %)  | Matière organique  (Min: 38.0 %, Max: 38.0 %)  | Azote (N) total  (Min: 2.0 %, Max: 2.0 %)  | dont Azote (N) organique (Min: 2.0 %, Max: 2.0 %)  | Oxyde de potassium (K2O) soluble dans l'eau (Min: 5.0 %, Max: 5.0 %)  | Extraits d'algues et extraits végétaux (Min: 99.95 %, Max: 99.95 %)  | pH (Min: 5.7 , Max: 5.7 ) ;Densité (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1211008;MICRO-ORGANISMES CROISSANCE MIRACLE;Bacillus Amyloliquefaciens souche ECO-B-01, Bacillus Pumilus souche ECO-B-02 (Min: 1.101 spores/mL, Max: 1.101 spores/mL) ;;Préparation bactérienne;
MFSC;6221059;METHACYCLE;Matière sèche (Min: 19.0 %, Max: 37.0 %)  | Matière organique (Min: 11.0 %, Max: 21.0 %)  | Azote (N) total  (Min: 0.8 %, Max: 1.6 %)  | Anhydre phosphorique (P2O5) total  (Min: 1.4 %, Max: 2.8 %) ;Fe (Min:  , Max:  )  | Cu (Min:  , Max:  )  | Zn (Min:  , Max:  )  | C/N (Min:  , Max:  )  | pH (Min:  , Max:  ) ;Amendement - Engrais;
MFSC;1220081;AMINOTREX;Matière sèche  (Min: 50.0 %, Max: 50.0 %)  | Acides aminés libres (Min: 24.0 %, Max: 24.0 %)  | Azote (N) total  (Min: 3.4 %, Max: 3.4 %)  | dont azote (N) organique (Min: 3.0 %, Max: 3.0 %)  | dont azote (N) ammoniacal (Min: 0.4 %, Max: 0.4 %)  | Densité (Min: 1.25 g/mL, Max: 1.25 g/mL)  | pH (Min: 9.0 , Max: 9.0 ) ;Aminogramme (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1220082;OMYAPRO SUN CALCITE;pH (10% en solution) (Min: 9.0 , Max: 9.0 )  | Oxyde de calcium (CaO) total combiné à l'état de carbonate (Min: 50.0 %, Max: 50.0 %)  | Finesse de mouture passant au tamis de 0.5 mm (Min: 100.0 %, Max: 100.0 %)  | Finesse de mouture passant au tamis de 0.02 mm (Min: 100.0 %, Max: 100.0 %) ;;Matière fertilisante;
MFSC;1210086;VINEUS MERLOT PRO-NOUAISON;Matière sèche  (Min: 97.0 %, Max: 97.0 %)  | Extraits solubles de levure Sacchromyces cerevisiae (Min: 33.0 %, Max: 33.0 %)  | Glycine bétaïne (Min: 67.0 %, Max: 67.0 %) ;;Matière fertilisante;
MFSC;6220190;SAMSON;Matière sèche  (Min: 45.0 %, Max: 45.0 %)  | Extrait d'algues Ascophyllum nodosum (Min: 25.0 %, Max: 25.0 %)  | Oxyde de potassium (K2O) total soluble dans l'eau (Min: 5.25 %, Max: 5.25 %)  | Azote (N) total  (Min: 2.5 %, Max: 2.5 %)  | Mannitol (Min: 1.75 %, Max: 1.75 %)  | Acide alginique (Min: 3.0 %, Max: 3.0 %)  | pH (Min: 5.5 , Max: 5.5 ) ;;Matière fertilisante;
MFSC;1200069;COBIOSOLSTIM;Bacillus amyloliquefaciens (Min: 100000000 spores/g, Max: 100000000 spores/g) ;;Matière fertilisante;
MFSC;1200952;CHELAL MG;Matière sèche (MS) (Min: 58.5 %, Max: 58.5 %)  | Oxyde de magnésium (MgO) soluble dans l'eau (Min: 5.3 %, Max: 5.3 %) ;pH (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1200951;CHELAL OMNICAL;Matière sèche (MS) (Min: 40.0 %, Max: 40.0 %)  | Oxyde de calcium (CaO) (Min: 8.1 %, Max: 8.1 %) ;pH (Min:  , Max:  ) ;Matière fertilisante;
MFSC;1180658;KALIO;Matières organiques (Min: 80.0 %, Max: 80.0 %)  | Matière sèche (Min: 90.0 %, Max: 90.0 %)  | Mannose (Min: 5000.0 mg/100 g, Max: 5000.0 mg/100 g) ;;Additif agronomique;
MFSC;1130005;API PLANT STIMUL TABS;;;;
MFSC;1210312;IMPULS TD;Trichoderma asperellum souches B et F et Trichoderma asperelloides souches A, C, D et E  (Min: 108.0 UFC/g, Max: 108.0 UFC/g) ;;Préparation fongique;
MFSC;1171304;FERTILEADER 2M;Oxyde de magnésium (MgO) (Min: 2.0 %, Max: 2.0 %)  | Manganèse (Mn) (Min: 11.7 %, Max: 11.7 %)  | pH (Min: 1.0 , Max: 1.0 ) ;;Matière fertilisante;
MFSC;1210739;AMINO CAP;Glycine bétaïne (Min: 4.0 %, Max: 4.0 %)  | Oxyde de soufre (SO3) (Min: 21.0 %, Max: 21.0 %)  | pH (Min: 6.5 , Max: 6.5 )  | Matière sèche  (Min: 50.0 %, Max: 50.0 %)  | Azote uréique (Min: 2.0 %, Max: 2.0 %)  | L-Acides aminés libres d'origine végétale (Min: 9.0 %, Max: 9.0 %)  | Azote ammoniacal (Min: 6.1 %, Max: 6.1 %)  | Azote (N) organique  (Min: 2.0 %, Max: 2.0 %)  | Azote (N) total  (Min: 10.1 %, Max: 10.1 %) ;;Matière fertilisante;
